Collector ID,ID,Site,Tree #,Cone,Cone Length (mm),# Seeds,Total Seed Weight (g) (Wing & Wingless),# Wingless Seed,Total Wingless Seed Weight (g),# Winged Seed,Total Winged Seed Weight (g),# sml immature Seed,Comments,Photo?
A,MD2E,Mid-Dome,2,E,55,,,,,,,,cone didn't open,
A,MD3A,Mid-Dome,3,A,49,104,0.511,,,,,7,,
A,MD3B,Mid-Dome,3,B,41,48,0.2683,,,,,25,,
A,MD3C,Mid-Dome,3,C,40,51,0.2595,,,,,5,,
A,MD3D,Mid-Dome,3,D,52,124,0.6683,,,,,9,,
A,MD3E,Mid-Dome,3,E,46,130,0.4171,,,,,2,,
A,MD4A,Mid-Dome,4,A,40,8,0.0268,1,,7,,,"Cone prised open to reveal mature seed, many immature seed",y
A,MD4B,Mid-Dome,4,B,49,75,0.2953,,,,,14,,
A,MD4C,Mid-Dome,4,C,42,19,0.0608,,,,,,Cone prised open to reveal mature seed and lots immature seed,
A,MD4D,Mid-Dome,4,D,41,10,0.0307,,,,,,Cone prised open to reveal mature seed and lots immature seed,
A,MD4E,Mid-Dome,4,E,39,62,0.2145,,,,,,Cone prised open to reveal mature seed and lots immature seed,
B,MD5A,Mid-Dome,5,A,34,73,0.1563,,,,,22,,
B,MD5B,Mid-Dome,5,B,39,105,0.3399,,,,,29,,
B,MD5C,Mid-Dome,5,C,42,110,0.3232,,,,,32,,
B,MD5D,Mid-Dome,5,D,40,106,0.4078,,,,,21,,
B,MD5E,Mid-Dome,5,E,41,135,0.3483,,,,,24,,
B,MD6A,Mid-Dome,6,A,45,,,,,,,,cone didn't open,y
B,MD6B,Mid-Dome,6,B,50,,,,,,,,cone didn't open,y
B,MD6C,Mid-Dome,6,C,50,,,,,,,,cone didn't open,y
B,MD6D,Mid-Dome,6,D,56,,,,,,,,cone didn't open,y
B,MD6E,Mid-Dome,6,E,48,81,0.4296,,,,,24,,y
B,MD7A,Mid-Dome,7,A,54,88,0.4574,,,,,10,,
