year,collector_id,full_id,full_tree,site,Population,cone_id,serot,cone_length_mm,cone_x,cone_y,no_filled,no_unfilled,tot_seed_wgt_g,mism_g,seed_1_g,seed_2_g,seed_3_g,seed_4_g,seed_5_g,seed_6_g,seed_7_g,seed_8_g,seed_9_g,seed_10_g,no_scal,tot_scale_wt_g,mibm_g,scale_1_g,scale_2_g,scale_3_g,scale_4_g,scale_5_g,scale_6_g,scale_7_g,scale_8_g,scale_9_g,scale_10_g,no_immature
21/22,MS,H10D,H10,Hanmer,A,D,N,47,,,119,,0.4959,0.004167227,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H10E,H10,Hanmer,A,E,N,31,,,58,,0.1797,0.003098276,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H11A,H11,Hanmer,B,A,N,45,,,80,,0.2451,0.00306375,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H11B,H11,Hanmer,B,B,N,45,,,76,,0.2756,0.003626316,,,,,,,,,,,,,,,,,,,,,,,,14
21/22,MS,H11C,H11,Hanmer,B,C,N,36,,,56,,0.1947,0.003476786,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,MS,H11D,H11,Hanmer,B,D,N,37,,,77,,0.2643,0.003432468,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,MS,H11E,H11,Hanmer,B,E,N,36,,,60,,0.1867,0.003111667,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H12A,H12,Hanmer,B,A,N,29,,,44,,0.1484,0.003372727,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H12B,H12,Hanmer,B,B,N,33,,,54,,0.2086,0.003862963,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,MS,H12C,H12,Hanmer,B,C,N,32,,,54,,0.1837,0.003401852,,,,,,,,,,,,,,,,,,,,,,,,
21/22,MS,H12D,H12,Hanmer,B,D,N,31,,,51,,0.1897,0.003719608,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H12E,H12,Hanmer,B,E,N,30,,,48,,0.1701,0.00354375,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H13A,H13,Hanmer,B,A,N,36,,,104,,0.3856,0.003707692,,,,,,,,,,,,,,,,,,,,,,,,9
21/22,MS,H13B,H13,Hanmer,B,B,N,34,,,75,,0.3299,0.004398667,,,,,,,,,,,,,,,,,,,,,,,,19
21/22,MS,H13C,H13,Hanmer,B,C,N,34,,,88,,0.3396,0.003859091,,,,,,,,,,,,,,,,,,,,,,,,10
21/22,MS,H13D,H13,Hanmer,B,D,N,31,,,73,,0.2786,0.003816438,,,,,,,,,,,,,,,,,,,,,,,,13
21/22,MS,H13E,H13,Hanmer,B,E,N,32,,,77,,0.2946,0.003825974,,,,,,,,,,,,,,,,,,,,,,,,17
21/22,MS,H14A,H14,Hanmer,B,A,N,37,,,74,,0.2818,0.003808108,,,,,,,,,,,,,,,,,,,,,,,,1
21/22,MS,H14B,H14,Hanmer,B,B,N,38,,,73,,0.2835,0.003883562,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,MS,H14C,H14,Hanmer,B,C,N,39,,,74,,0.2873,0.003882432,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,MS,H14D,H14,Hanmer,B,D,N,36,,,59,,0.2447,0.004147458,,,,,,,,,,,,,,,,,,,,,,,,1
