cone_id,tree_id,date_collected,region,longitude,latitude,sprayed,age,years_since_treatment,cone_length,cone_x,cone_y,mature_seed,immature_seed,total_mature_weight,ttc_n,germ_test_n,no_viable,via.,no_germinated,germ.,post_germ_via_n,post_germ_germ.via
66,28,6/12/2023,Mid Dome,168.5080235,-45.6120335,unsprayed,2,8,NA,NA,NA,68,5,NA,68,NA,51,75,NA,NA,NA,NA
67,28,6/12/2023,Mid Dome,168.5080235,-45.6120335,unsprayed,2,8,NA,NA,NA,11,6,NA,11,NA,9,81.81818182,NA,NA,NA,NA
68,30,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,71,11,NA,71,NA,61,85.91549296,NA,NA,NA,NA
69,30,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,74,6,NA,74,NA,57,77.02702703,NA,NA,NA,NA
70,29,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,96,12,NA,96,NA,53,55.20833333,NA,NA,NA,NA
71,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,unsprayed,4,8,NA,NA,NA,67,7,NA,67,NA,51,76.11940299,NA,NA,NA,NA
72,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,unsprayed,4,8,NA,NA,NA,54,4,NA,54,NA,45,83.33333333,NA,NA,NA,NA
73,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,47,5,NA,47,NA,41,87.23404255,NA,NA,NA,NA
74,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,10,8,NA,NA,NA,70,7,NA,70,NA,44,62.85714286,NA,NA,NA,NA
75,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,8,8,NA,NA,NA,68,4,NA,68,NA,64,94.11764706,NA,NA,NA,NA
76,26,6/12/2023,Mid Dome,168.5080235,-45.6120335,sprayed,8,8,NA,NA,NA,60,7,NA,60,NA,59,98.33333333,NA,NA,NA,NA
77,31,6/12/2023,Mid Dome,168.5371989,-45.5985548,sprayed,8,8,NA,NA,NA,67,8,NA,50,NA,47,70.14925373,NA,NA,NA,NA
78,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,8,2,NA,NA,NA,34,2,NA,25,NA,25,73.52941176,NA,NA,NA,NA
79,33,14/12/2023,Hanmer,172.899,-42.4586,sprayed,2,2,NA,NA,NA,53,4,NA,46,NA,46,86.79245283,NA,NA,NA,NA
80,33,15/12/2023,Hanmer,172.899,-42.4586,sprayed,4,2,NA,NA,NA,93,5,NA,83,NA,83,89.24731183,NA,NA,NA,NA
81,33,16/12/2023,Hanmer,172.899,-42.4586,sprayed,3,2,NA,NA,NA,57,3,NA,48,NA,48,84.21052632,NA,NA,NA,NA
82,33,17/12/2023,Hanmer,172.899,-42.4586,sprayed,5,2,NA,NA,NA,64,2,NA,60,NA,60,93.75,NA,NA,NA,NA
83,32,18/12/2023,Hanmer,172.8913,-42.4596,sprayed,6,2,NA,NA,NA,72,5,NA,64,NA,63,87.5,NA,NA,NA,NA
84,32,19/12/2023,Hanmer,172.8913,-42.4596,sprayed,7,2,NA,NA,NA,41,2,NA,27,NA,25,60.97560976,NA,NA,NA,NA
85,32,20/12/2023,Hanmer,172.8787,-42.4618,sprayed,4,2,NA,NA,NA,53,4,NA,44,NA,43,81.13207547,NA,NA,NA,NA
86,33,21/12/2023,Hanmer,172.8787,-42.4618,sprayed,4,2,NA,NA,NA,102,7,NA,83,NA,83,81.37254902,NA,NA,NA,NA
87,26,6/12/2023,Mid Dome,168.5125123,-45.6376383,sprayed,4,2,NA,NA,NA,66,5,NA,54,NA,54,81.81818182,NA,NA,NA,NA
88,26,6/12/2023,Mid Dome,168.5125123,-45.6376383,sprayed,4,2,NA,NA,NA,72,2,NA,61,NA,61,84.72222222,NA,NA,NA,NA
89,32,13/12/2023,Hanmer,172.8913,-42.4596,sprayed,7,2,NA,NA,NA,29,4,NA,23,NA,22,75.86206897,NA,NA,NA,NA
90,33,13/12/2023,Hanmer,172.899,-42.4586,sprayed,4,2,NA,NA,NA,59,1,NA,57,NA,57,96.61016949,NA,NA,NA,NA
91,33,13/12/2023,Hanmer,172.899,-42.4586,sprayed,4,2,NA,NA,NA,79,4,NA,75,NA,74,93.67088608,NA,NA,NA,NA
92,33,13/12/2023,Hanmer,172.899,-42.4586,sprayed,3,2,NA,NA,NA,40,5,NA,30,NA,29,72.5,NA,NA,NA,NA
